DEGREE,DEGREE_DESCRIPTION
17.4.7,Theatre Acting
17.4.8,Theatre Studies
17.4.9,Theatre Arts
17.5,Cinematics
17.5.1,Audio Visual Technicians
17.5.2,Visual Studies
17.5.3,Film and Television Studies
17.5.4,Film and TV in Education
17.5.5,Theatre/Film/TV
17.5.6,Other/General Cinematics n.e.c
17.6,Crafts
17.6.1,Craft Materials
17.6.10,Vocational Craft
17.6.11,Vocational Design
17.6.12,Other/General crafts n.e.c
17.6.2,Other Craft Related Studies
17.6.3,Basketry
17.6.4,Dressmaking
17.6.5,Embroidery
17.6.6,Flower Arranging
17.6.7,Home knitting
17.6.8,Soft Furnishing
17.6.9,Handicraft
17.7,Beauty & Hairdressing
17.7.1,Hairdressing/Wigmaking
17.7.2,Beauty Therapy
17.7.3,Epilation
17.7.4,Make-up/Manicure/Pedicure
17.7.5,Trichology
17.7.6,Other/General Beauty & Hairdressing n.e.
17.8,Other Art & Design n.e.c
18,Education
18.1,Teacher Training
18.10,Other Topics in Education
18.10.1,Primary Curriculum
18.10.2,Curriculum
18.10.3,Reading
18.10.4,Technical and Commercial Subjects
18.10.5,Topical Areas
18.10.6,OtherTopics in Education n.e.c
18.2,Physical Education
18.2.1,Sport
18.2.2,Sports Studies
18.2.3,Sports Science (taught as an education subject)
18.2.4,Recreation Management
18.2.5,Leisure Management
18.2.6,Sport Management
18.2.7,Horse Instructors
18.2.8,Other/General Physical Education n.e.c
18.3,Academic Studies in Education
18.3.1,Applied Education
18.3.2,Nursery Education
18.3.3,Primary Education
18.3.4,Secondary Education
18.3.5,Community Education
18.3.6,Compensatory Education
18.3.7,World Education
18.3.8,Overseas Education
18.4,Techniques in Teaching Children
18.4.1,Guidance in Schools
18.4.2,Teaching in a Multi-cultural Society
18.4.3,Teaching and Learning
18.4.4,Education of Gifted Children
18.4.5,Adolescent Development
18.4.6,Other/General Techniques in Teaching Children n.e.c
18.5,Techniques in Teaching Adults
18.5.1,Teachers - Adult Education
18.5.2,Teaching Modern Languages to Adults
18.5.3,Further Education Teacher Training (Others)
18.5.4,Other General Techniques in Teaching Adu
18.6,TEFL/TESOL
18.7,Education for those with Special Needs
18.7.1,Teaching the Handicapped
18.7.10,Other/General Special Needs Education n.e.c
18.7.2,Special Needs Related Studies
18.7.3,Teaching the Mentally Handicapped
18.7.4,Teaching Deaf Children
18.7.5,Teaching Maladjusted Children
18.7.6,Special Needs Education
18.7.7,Teaching the Educationally Sub-normal
18.7.8,Teaching those with a Language Handicap
18.7.9,Teaching Remedial and Slow Learners
18.8,Technology in Education
18.8.1,Audio-Visual Techniques for Education
18.8.2,Design for Learning
18.8.3,Design Research in Education
18.8.4,Other/General Technology in Education n.e.c
18.9,Management & Organisation of Education
2,Medical Related Subjects
2.1,Anatomy and Physiology
2.1.1,Physiology
2.1.10,Other/General Anatomy and Physiology
2.1.2,Anatomy
2.1.3,Human Biology
2.1.4,Pathology
2.1.5,Cellular Pathology
2.1.6,Experimental Pathology
2.1.7,Pathobiology
2.1.8,Neurosciences
2.1.9,Applied Neuroscience
2.2,Pharmacology
2.2.1,Pharmacotherapeutics
2.2.2,Toxicology
2.2.3,Other/General Pharmacology
2.3,Pharmacy
2.4,Nutrition
2.4.1,Dietetics
2.4.2,Other Nutrition
2.5,Ophthalmics
2.5.1,Orthoptics
2.5.2,Optometry
2.5.3,Other/General Ophthalmics
2.6,Audiology
2.6.1,Deaf Studies
2.6.2,Other/General Audiology
2.7,Nursing
2.7.1,Community Psychiatric Nursing
2.7.10,Nursing Studies
2.7.11,Midwifery
2.7.12,Clinical Teaching (Nursing)
2.7.13,Community Health Teaching (Nursing)
2.7.14,Nursing Administration
2.7.15,Nursing Ward Management and Technology
2.7.16,Nursing Related Studies
2.7.17,Ambulance Officer Studies
2.7.18,Nursery Nursing
2.7.19,Dental Nursing
2.7.2,Occupational Health (nursing)
2.7.20,Other/general Nursing n.e.c
2.7.3,Pre-Nursing
2.7.4,School  Nursing
2.7.5,Community Nursing
2.7.6,District Nursing
2.7.7,District Nurse Tutors
2.7.8,Health Visitors
2.7.9,Health Visitor Tutors
2.8,Medical Technology
2.8.1,Mortuary Hygiene and Technology
2.8.2,Radiography
2.8.3,Radiography diagnostic
2.8.4,Radiography therapeutic
2.8.5,Physics for Radiographers
2.8.6,Medical Photography
2.8.7,Dental Technology
2.8.8,Other/general Medical Technology n.e.c
2.9,Other Medical Subjects
2.9.1,Environmental Health
2.9.10,Clinical Communication Studies
2.9.11,Physiotherapy
2.9.12,Occupational Therapy
2.9.13,Occupational Hygiene
2.9.14,Therapy through Art/Drama/Music
2.9.15,Biomechanics and Biomaterials
2.9.16,Prosthetics
2.9.17,Cardiography
2.9.18,Chemotherapy
2.9.19,Chiropody/Podiatry
2.9.2,Cleaning Science
2.9.20,Therapeutic Psychology
2.9.21,Remedial Professions
2.9.22,Medical Related Professions
2.9.23,Health Studies
2.9.24,Health Education
2.9.25,Dental Health Education
2.9.26,Other Medical Subjects n.e.c
2.9.3,Solid Waste
2.9.4,Medical Laboratory Science
2.9.5,Biomedical Science
2.9.6,Pharmaceutical Chemistry
2.9.7,Speech Science
2.9.8,Speech Therapy
2.9.9,Language Pathology
3,Biological Sciences
3.1,Biology
3.1.1,Applied Biology
3.1.10,Field Biology
3.1.11,Marine Biology
3.1.12,Aquaculture
3.1.13,Aquatic Biology
3.1.14,Freshwater Biology
3.1.15,Animal and Plant Biology
3.1.16,Computational Biology
3.1.17,Other/general Biology n.e.c
3.1.2,Neurobiology
3.1.3,Biological Sciences
3.1.4,Cell Biology
3.1.5,Applied Cell Science
3.1.6,Developmental Biology/Reproductional Biology
3.1.7,Behavioural Biology
3.1.8,Environmental Biology
3.1.9,Applied Environmental Biology
3.10,Vetinary Sciences
3.10.1,Animal Related Studies
3.10.2,Animal Nursing
3.10.3,Animal Management
3.10.4,Other/General Veterinary Sciences
3.2,Botany
3.2.1,Plant Science
3.2.2,Applied Botany
3.2.3,Plant Biotechnology
3.2.4,Plant Cell Science
3.2.5,Plant Biology
3.2.6,Plant Pathology
3.2.7,Mycology
3.2.8,Other/general Botany n.e.c
3.3,Zoology
3.3.1,Zoo Management
3.3.2,Animal Developmental Biology
3.3.3,Applied Zoology
3.3.4,Marine Zoology
3.3.5,Cell Zoology
3.3.6,Parasitology
3.3.7,Pest Science
3.3.8,Entomology
3.3.9,Other/general Zoology n.e.c
3.4,Genetics
3.4.1,Medical Genetics
3.4.2,Other/General Genetics
3.5,Microbiology
3.5.1,Applied Microbiology
3.5.2,Virology
3.5.3,Medical Microbiology
3.5.4,Bacteriology
3.5.5,Food Microbiology
3.5.6,Other/General Microbiology n.e.c
3.6,Molecular Biology and Biophysics
3.6.1,Molecular Biophysics
3.6.2,Molecular Biology
3.6.3,Biomolecular Science
3.6.4,Biophysics
3.6.5,Biophysical Science
3.6.6,Other/general Molecular Biology and Biophysics n.e.c
3.7,Biochemistry
3.7.1,Applied Biochemistry
3.7.2,Medical Biochemistry
3.7.3,Clinical Biochemistry
3.7.4,Plant Biochemistry
3.7.5,Biological Chemistry
3.7.6,Biochemistry for Industry and Metabolic Biochemistry
3.7.7,Nutritional Biochemistry
3.7.8,Other/General Biochemistry n.e.c
3.8,Psychology (not solely as a social science)
3.8.1,Applied Psychology
3.8.2,Clinical Psychology
3.8.3,Clinical Science
3.8.4,Experimental Psychology
3.8.5,Social Psychology (with high scientific content)
3.8.6,Occupational Psychology
3.8.7,Applied Cognitive Science
3.8.8,Other Pyschology (not solely as a social science)
3.9,Other Biological Sciences
3.9.1,Applied Biological Sciences
3.9.10,Other General Biological Sciences n.e.c
3.9.2,Brewing Science
3.9.3,Immunology
3.9.4,Serology
3.9.5,Biometry
3.9.6,Sports Science (taught as a science)
3.9.7,Life Sciences
3.9.8,Ecology
3.9.9,Applied Environmental Sciences
4,Agricultural Sciences
4.1,Agriculture
4.1.1,Agriculture/Horticulture
4.1.10,Crop Science
4.1.11,Crop Protection
4.1.12,Crop Production (including grassland - Forage crops)
4.1.13,Horticulture
4.1.14,Commercial Horticulture
4.1.15,Glasshouse and Protected Cropping
4.1.16,Nursery Practice
4.1.17,Fruit Production
4.1.18,Vegetable/Flower Production
4.1.19,Floristry
4.1.2,Fish Farming and Water Keeping
4.1.20,Conservation (Environmental)
4.1.21,Natural Resources
4.1.22,Agricultural and Food Marketing
4.1.23,Farm Business Administration and Managem
4.1.24,Farm Secretaries
4.1.25,Commercial Landscape Recreation and Amenity Horticulture
4.1.26,Turf Culture/Green Keeping
4.1.27,Agricultural Mechanisation
4.1.28,Other/general Agriculture n.e.c
4.1.3,Animal Science
4.1.4,Animal Nutrition
4.1.5,Animal Physiology
4.1.6,Animal Production
4.1.7,Pig Technology/Husbandry
4.1.8,Poultry Technology/Husbandry
4.1.9,Horses on Farms and Estates
4.2,Forestry
4.2.1,Arboriculture
4.2.2,Wood Science
4.2.3,Agroforestry
4.2.4,Other/General Forestry n.e.c
4.3,Food Science
4.3.1,Food Technology
4.3.10,Food Market Science
4.3.11,Fisheries Studies
4.3.2,Food Hygiene
4.3.3,Meat Inspection
4.3.4,Poultry Meat Inspection
4.3.5,Meat Technology
4.3.6,Meat Industry Studies
4.3.7,Food and Drink Processing
4.3.8,Food Engineering and Manufacture
4.3.9,Food Marketing and Economics
4.4,Agricultural Sciences
4.4.1,Agricultural Biology
4.4.2,Agricultural Botany
4.4.3,Agricultural Zoology
4.4.4,Agricultural Bacteriology
4.4.5,Agricultural Microbiology
4.4.6,Agricultural Biochemistry
4.4.7,Agricultural Chemistry
4.4.8,Other/General Agricultural Sciences n.e.c
4.5,Other Agricultural Subjects
